, <- ,	2183
the <- .	1377
the <- of	1262
. <- to	1141
. <- .	988
the <- ,	866
and <- .	801
in <- .	709
a <- .	704
of <- .	704
it <- it	664
" <- "	660
's <- 's	637
the <- and	611
to <- .	606
. <- the	590
, <- to	567
a <- of	560
. <- a	539
me <- me	535
of <- ,	513
for <- .	496
, <- .	490
. <- that	482
I <- to	464
- <- -	463
in <- ,	457
and <- to	447
to <- the	437
you <- you	428
: <- :	421
. <- ,	418
a <- ,	409
is <- .	406
to <- to	396
) <- )	372
the <- to	367
, <- and	351
of <- and	344
. <- and	341
the <- in	339
( <- )	325
up <- up	320
on <- .	320
, <- the	319
to <- ,	312
and <- ,	301
with <- .	298
, <- a	297
out <- out	293
you <- to	290
. <- in	284
is <- to	280
the <- is	276
of <- of	274
them <- them	272
in <- of	267
to <- and	261
the <- that	254
, <- of	250
him <- him	246
. <- of	241
a <- to	238
that <- to	238
a <- and	237
in <- and	235
is <- ,	235
. <- for	233
for <- ,	231
. <- you	228
and <- of	224
I <- a	224
, <- that	220
in <- in	219
Thanks <- Thanks	218
to <- a	217
. <- me	217
that <- .	216
be <- to	212
the <- for	210
! <- !	208
and <- the	207
I <- the	205
a <- in	201
a <- for	199
of <- in	196
do <- to	196
be <- .	195
was <- .	194
' <- '	194
to <- in	193
. <- -	189
, <- in	185
for <- and	184
? <- ?	183
. <- it	181
I <- that	180
at <- .	179
this <- .	172
and <- in	170
was <- to	170
have <- to	170
are <- .	169
are <- to	166
on <- ,	165
The <- is	163
. <- with	162
your <- .	161
it <- to	161
is <- and	160
with <- and	156
to <- of	155
would <- to	155
with <- ,	154
from <- .	153
as <- as	151
the <- on	151
there <- there	149
and <- a	146
a <- that	144
my <- .	143
and <- and	141
. <- on	140
as <- .	138
I <- it	136
or <- .	136
you <- a	135
, <- for	134
I <- .	133
the <- I	133
the <- was	132
will <- to	131
the <- (	131
I <- you	129
that <- that	127
back <- back	126
have <- I	125
and <- it	125
that <- the	123
of <- to	122
you <- the	122
a <- with	121
get <- to	121
to <- with	120
us <- us	120
not <- to	119
" <- .	118
their <- .	118
. <- this	118
, <- it	118
to <- it	116
it <- .	116
are <- ,	115
on <- and	115
this <- this	115
well <- well	114
for <- of	114
we <- to	114
the <- are	113
is <- of	112
and <- that	112
I <- and	112
and <- for	112
to <- for	112
to <- that	110
not <- .	109
with <- of	109
was <- and	109
the <- ?	108
? <- to	105
the <- with	105
In <- ,	104
by <- .	104
know <- me	103
The <- of	102
my <- and	102
the <- 's	101
( <- (	101
go <- to	101
her <- her	101
they <- to	100
, <- me	100
s <- s	100
that <- ,	100
, <- with	98
I <- in	98
an <- .	98
this <- ,	96
at <- ,	96
that <- in	95
my <- ,	94
I <- with	94
. <- at	93
I <- this	93
. <- by	92
of <- that	92
n't <- to	91
is <- for	91
here <- here	91
had <- I	91
) <- (	90
on <- on	89
to <- on	89
but <- .	88
in <- to	88
The <- was	88
is <- is	88
you <- .	88
and <- are	87
that <- a	87
you <- for	87
$ <- $	87
for <- in	86
a <- on	86
they <- .	86
on <- of	85
is <- that	83
, <- you	83
in <- ?	83
he <- to	83
the <- "	82
his <- .	82
the <- as	82
as <- ,	82
I <- my	82
. <- out	81
is <- in	81
of <- for	80
but <- to	80
by <- ,	80
was <- ,	80
you <- it	80
else <- else	80
and <- with	80
about <- .	79
" <- ,	79
. <- my	79
are <- and	78
, <- on	77
- <- ROOT	77
I <- ,	76
of <- is	75
Thank <- Thank	75
to <- you	75
to <- this	74
a <- ?	74
in <- with	74
. <- up	73
the <- from	73
you <- ,	73
all <- .	73
from <- ,	72
in <- for	72
to <- my	72
Number <- -	72
that <- and	71
. <- :	71
not <- ,	71
be <- ,	70
will <- .	70
the <- )	70
very <- .	70
. <- an	69
in <- that	68
It <- to	68
all <- all	68
the <- at	68
or <- ,	68
for <- for	68
will <- the	68
to <- at	68
. <- as	67
at <- and	67
. <- about	67
take <- to	67
and <- me	67
, <- this	67
. <- from	66
your <- ,	66
very <- and	66
by <- of	65
the <- you	65
at <- of	65
down <- down	65
was <- in	65
I <- I	65
. <- I	65
not <- the	65
i <- to	65
one <- one	65
if <- to	65
-- <- --	64
have <- the	64
- <- ,	64
our <- .	64
I <- on	64
off <- off	63
to <- up	62
be <- for	62
have <- a	62
they <- the	62
. <- no	62
know <- I	62
between <- and	62
there <- a	61
this <- to	61
" <- to	61
to <- me	61
I <- for	61
be <- in	61
recommend <- I	61
that <- for	60
from <- and	60
than <- than	60
... <- ...	60
see <- to	60
have <- that	59
the <- will	59
Let <- Let	59
? <- a	59
. <- your	59
to <- your	59
of <- who	58
of <- on	58
this <- is	58
of <- (	58
into <- .	58
> <- >	58
and <- !	58
the <- ROOT	58
as <- of	57
, <- out	57
that <- of	57
to <- them	57
. <- them	57
what <- what	57
and <- them	57
and <- you	57
a <- or	57
- <- .	57
a <- at	57
with <- to	57
Bush <- Bush	56
an <- ,	56
If <- ,	56
the <- has	56
lot <- a	56
you <- in	56
from <- to	56
! <- to	56
than <- .	56
You <- to	56
a <- from	56
an <- of	55
the <- the	55
he <- .	55
to <- as	55
, <- from	55
< <- >	55
and <- on	55
are <- for	54
was <- of	54
the <- or	54
were <- to	54
the <- !	54
people <- of	53
