, -> ','	60484
DT -> 'the'	50944
. -> '.'	48144
TOP -> S^<TOP>	44523
PP^<NP> -> IN NP^<PP>	38682
IN -> 'of'	28284
TO -> 'to'	27164
S|<NP,VP>^<TOP> -> NP^<S> VP^<S>	25015
PP^<VP> -> IN NP^<PP>	24837
DT -> 'a'	23647
S^<TOP> -> S|<NP,VP>^<TOP> .	21670
CC -> 'and'	19754
IN -> 'in'	18479
NP^<NP> -> DT NN	16376
NP^<PP> -> NP^<NP> PP^<NP>	11739
S|<NP,VP>^<TOP> -> NP VP^<S>	10038
POS -> "'s"	10021
IN -> 'for'	9842
NP|<JJ,NN>^<NP> -> JJ NN	9708
$ -> '$'	8817
NP^<VP> -> NP^<NP> PP^<NP>	8776
`` -> '``'	8735
'' -> "''"	8506
DT -> 'The'	8395
VBZ -> 'is'	8325
S|<,,NP>^<TOP> -> , S|<NP,VP>^<TOP>	8258
S^<SBAR> -> NP^<S> VP^<S>	8089
NP^<PP> -> DT NN	7315
NP^<S> -> DT NN	6953
SBAR^<VP> -> IN S^<SBAR>	6779
VP^<S> -> MD VP^<VP>	6587
NP|<NNP,NNP>^<NP> -> NNP NNP	6579
NP^<NP> -> DT NP|<JJ,NN>^<NP>	6494
PP^<S> -> IN NP^<PP>	6198
NP|<JJ,NN>^<PP> -> JJ NN	6159
IN -> 'on'	6143
NN -> '%'	6109
NP^<NP> -> NNP NNP	5832
S+VP^<VP> -> TO VP^<S+VP>	5662
SBAR^<NP> -> WHNP S+VP^<SBAR>	5638
S^<SBAR> -> NP VP^<S>	5620
NP|<NN,NN>^<NP> -> NN NN	5598
IN -> 'by'	5504
IN -> 'that'	5440
NP^<S> -> NP^<NP> PP^<NP>	5421
IN -> 'from'	5381
CD -> 'million'	5334
IN -> 'at'	5318
IN -> 'with'	5142
NNP -> 'Mr.'	4950
NP^<NP> -> NP^<NP> PP^<NP>	4923
NP^<S> -> NNP NNP	4919
VBD -> 'was'	4837
S^<S> -> NP^<S> VP^<S>	4808
VBD -> 'said'	4764
NP -> 'it'	4713
VB -> 'be'	4528
PRP$ -> 'its'	4462
VBP -> 'are'	4397
S|<PP,,>^<TOP> -> PP^<S> S|<,,NP>^<TOP>	4379
IN -> 'as'	4353
NP|<NN,NN>^<PP> -> NN NN	4273
VBZ -> 'has'	4020
RB -> "n't"	4005
VP^<S> -> VBZ VP^<VP>	3939
PP^<VP> -> TO NP^<PP>	3880
VP|<NP,VBD>^<S> -> VBD NP^<VP>	3879
S^<TOP> -> S|<PP,,>^<TOP> .	3865
VP^<S> -> VBD NP^<VP>	3843
DT -> 'an'	3818
VP^<S> -> VBZ NP^<VP>	3801
NP^<PP> -> DT NP|<JJ,NN>^<PP>	3785
VP^<S> -> VBD SBAR+S^<VP>	3760
VP^<VP> -> VB NP^<VP>	3728
MD -> 'will'	3697
NP|<CC,NP>^<PP> -> CC NP^<NP>	3594
NP^<VP> -> DT NN	3572
VP^<VP> -> VBN PP^<VP>	3465
NP^<NP> -> JJ NNS	3463
NP^<NP> -> NNP POS	3401
NP^<PP> -> JJ NNS	3261
S^<S> -> NP VP^<S>	3241
CC -> 'or'	3134
NP -> 'he'	3119
VP^<S+VP> -> VB NP^<VP>	3077
NP|<DT,NN>^<NP> -> DT NN	3075
NN -> 'company'	3041
SBAR+S^<VP> -> NP VP^<SBAR+S>	3005
VP^<S> -> VBP VP^<VP>	2960
VP^<S> -> VBD VP^<VP>	2952
WHNP -> 'that'	2890
NP^<NP> -> NNP NP|<NNP,NNP>^<NP>	2890
NP|<NNP,NNP>^<PP> -> NNP NNP	2808
NP|<JJ,NN>^<VP> -> JJ NN	2807
PP^<NP> -> IN NP+NNP	2793
SBAR+S^<VP> -> NP^<SBAR+S> VP^<SBAR+S>	2769
NN -> 'year'	2719
S|<,,S>^<TOP> -> S^<S> ,	2718
PP^<NP> -> IN NP+NN	2695
MD -> 'would'	2677
NP^<PP> -> NNP NNP	2652
NP^<NP> -> NP|<DT,NN>^<NP> POS	2614
NP|<JJ,NN>^<S> -> JJ NN	2598
: -> '--'	2581
S^<VP> -> TO VP^<S>	2577
NN -> 'market'	2517
NP|<JJ,NNS>^<NP> -> JJ NNS	2403
VBP -> 'have'	2390
NP -> 'they'	2387
VBD -> 'were'	2363
WHNP -> 'which'	2283
NP|<,,NP>^<S> -> , NP^<NP>	2281
NP|<NNP,NNP>^<NP> -> NNP NP|<NNP,NNP>^<NP>	2281
VP+VBD -> 'said'	2275
NP|<NN,NN>^<S> -> NN NN	2274
TOP -> SINV^<TOP>	2245
IN -> 'In'	2177
VP^<NP> -> VBN PP^<VP>	2173
CD -> 'billion'	2155
CC -> 'But'	2143
NP|<NNP,NNP>^<S> -> NNP NNP	2126
SBAR^<S> -> IN S^<SBAR>	2108
VBD -> 'had'	2101
PRP$ -> 'their'	2087
NNP -> 'U.S.'	2047
VP|<NP,VB>^<VP> -> VB NP^<VP>	2042
NP^<NP> -> JJ NN	2034
NP^<S> -> DT NNS	2031
CC -> 'but'	2031
IN -> 'than'	2027
NP+QP^<NP> -> NP+QP|<CD,$>^<NP> CD	2023
DT -> 'this'	2020
NP^<NP> -> DT NNS	2009
NP|<NP,,>^<S> -> NP^<NP> NP|<,,NP>^<S>	1976
PRP$ -> 'his'	1975
NP|<,,NP>^<PP> -> NP^<NP> ,	1971
S^<TOP> -> S|<S,CC>^<TOP> .	1962
VBN -> 'been'	1955
PP^<NP> -> IN NP+NNS	1949
NP+QP^<PP> -> NP+QP|<CD,$>^<PP> CD	1932
NP^<NP> -> NP|<NNP,NNP>^<NP> POS	1917
NP^<NP> -> DT NP|<NN,NN>^<NP>	1901
NP|<NNP,NNP>^<PP> -> NNP NP|<NNP,NNP>^<PP>	1894
WHNP -> 'who'	1893
NP|<JJ,NNS>^<PP> -> JJ NNS	1880
NP^<S> -> NP|<NP,,>^<S> ,	1866
IN -> 'about'	1864
NP^<PP> -> JJ NN	1860
PP^<PP> -> IN NP^<PP>	1855
